,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Ornn,Nidalee,Cassiopeia,Xayah,Tahm Kench,Gnar,Jarvan IV,Ryze,Varus,Braum,False,,,,
1,Gangplank,Rengar,Malzahar,Ezreal,Braum,Vladimir,Lee Sin,Ryze,Sivir,Taric,True,,,,
2,Ornn,Jarvan IV,Zoe,Kog'Maw,Tahm Kench,Illaoi,Nidalee,Ryze,Twitch,Janna,True,,,,
3,Gangplank,Kha'Zix,Ryze,Kog'Maw,Thresh,Gnar,Zac,Azir,Tristana,Shen,False,,,,
4,Gnar,Zac,Azir,Kog'Maw,Tahm Kench,Gangplank,Kha'Zix,Veigar,Tristana,Braum,True,,,,
5,Gangplank,Jax,Azir,Varus,Braum,Lucian,Kha'Zix,Veigar,Caitlyn,Tahm Kench,True,,,,
6,Gangplank,Shyvana,Malzahar,Varus,Taric,Camille,Kha'Zix,Karma,Vayne,Tahm Kench,True,,,,
7,Gnar,Jarvan IV,Malzahar,Ezreal,Tahm Kench,Ornn,Zac,Azir,Kalista,Thresh,True,,,,
8,Camille,Kha'Zix,Azir,Xayah,Shen,Gangplank,Zac,Ryze,Tristana,Taric,True,,,,
9,Gnar,Sejuani,Ryze,Sivir,Alistar,Jayce,Jarvan IV,Azir,Varus,Ornn,True,,,,
10,Gangplank,Jarvan IV,Malzahar,Varus,Alistar,Camille,Zac,Ryze,Caitlyn,Shen,True,,,,
11,Gnar,Ivern,Malzahar,Kog'Maw,Braum,Ryze,Jarvan IV,Orianna,Tristana,Tahm Kench,True,,,,
12,Ornn,Jarvan IV,Ryze,Tristana,Taric,Gangplank,Kha'Zix,Malzahar,Caitlyn,Alistar,False,,,,
13,Ornn,Sejuani,Azir,Vayne,Braum,Gnar,Zac,Ryze,Tristana,Taric,False,,,,
14,Gangplank,Rengar,Malzahar,Varus,Tahm Kench,Lucian,Jarvan IV,Orianna,Xayah,Rakan,True,,,,
15,Cho'Gath,Sejuani,Ryze,Varus,Tahm Kench,Vladimir,Lee Sin,Galio,Xayah,Rakan,True,,,,
16,Gnar,Kha'Zix,Malzahar,Kalista,Braum,Jayce,Jarvan IV,Ryze,Ezreal,Tahm Kench,False,,,,
17,Camille,Evelynn,LeBlanc,Kog'Maw,Lulu,Ornn,Sejuani,Azir,Tristana,Tahm Kench,False,,,,
18,Gnar,Evelynn,Azir,Ezreal,Tahm Kench,Ornn,Kha'Zix,Ryze,Varus,Braum,False,,,,
19,Ornn,Jarvan IV,Azir,Xayah,Rakan,Gnar,Sejuani,Ryze,Tristana,Taric,True,,,,
20,Gnar,Kha'Zix,Ryze,Kog'Maw,Taric,Maokai,Jarvan IV,Cassiopeia,Twitch,Braum,False,,,,
21,Cho'Gath,Kha'Zix,Cassiopeia,Kog'Maw,Tahm Kench,Vladimir,Shyvana,Orianna,Kalista,Braum,False,,,,
22,Gangplank,Shyvana,Azir,Ezreal,Tahm Kench,Camille,Jarvan IV,Taliyah,Tristana,Shen,True,,,,
23,Gangplank,Zac,Zoe,Kog'Maw,Braum,Illaoi,Sejuani,Azir,Ezreal,Karma,True,,,,
24,Gangplank,Sejuani,Urgot,Kog'Maw,Shen,Ornn,Kha'Zix,Ryze,Ezreal,Braum,False,,,,
25,Gnar,Jarvan IV,Malzahar,Varus,Taric,Ornn,Shyvana,Azir,Tristana,Thresh,True,,,,
26,Vladimir,Nidalee,Malzahar,Varus,Zilean,Ornn,Sejuani,Azir,Kog'Maw,Tahm Kench,False,,,,
27,Ornn,Sejuani,Malzahar,Caitlyn,Braum,Gnar,Jarvan IV,Ryze,Sivir,Tahm Kench,False,,,,
28,Maokai,Shyvana,Ryze,Sivir,Tahm Kench,Gnar,Jarvan IV,Aurelion Sol,Caitlyn,Braum,False,,,,
29,Ornn,Kha'Zix,Azir,Sivir,Tahm Kench,Gnar,Jarvan IV,Kassadin,Ezreal,Janna,True,,,,
30,Ornn,Sejuani,Zoe,Xayah,Rakan,Gnar,Jarvan IV,Ryze,Tristana,Tahm Kench,True,,,,
31,Camille,Zac,Taliyah,Tristana,Shen,Gangplank,Jarvan IV,Ryze,Caitlyn,Braum,True,,,,
32,Ornn,Sejuani,Corki,Tristana,Taric,Vladimir,Jarvan IV,Taliyah,Xayah,Rakan,True,,,,
33,Rumble,Sejuani,Ryze,Ezreal,Taric,Ornn,Jarvan IV,Azir,Kog'Maw,Rakan,False,,,,
34,Cho'Gath,Lee Sin,Azir,Kalista,Tahm Kench,Rumble,Jarvan IV,Jayce,Varus,Zilean,True,,,,
35,Cho'Gath,Sejuani,Ryze,Xayah,Rakan,Gangplank,Gragas,Azir,Caitlyn,Tahm Kench,False,,,,
36,Ornn,Rengar,Ryze,Ezreal,Braum,Illaoi,Ivern,Azir,Sivir,Tahm Kench,False,,,,
37,Dr. Mundo,Jarvan IV,Xerath,Kog'Maw,Ornn,Vladimir,Xin Zhao,Azir,Ezreal,Tahm Kench,False,,,,
38,Jayce,Lee Sin,Azir,Tristana,Braum,Gnar,Jarvan IV,Ryze,Ezreal,Alistar,True,,,,
39,Cho'Gath,Sejuani,Zoe,Sivir,Shen,Vladimir,Jarvan IV,Kassadin,Vayne,Braum,False,,,,
40,Ornn,Jarvan IV,Ryze,Tristana,Tahm Kench,Gnar,Zac,Azir,Kog'Maw,Braum,False,,,,
41,Gangplank,Sejuani,Ryze,Varus,Thresh,Cho'Gath,Kha'Zix,Cassiopeia,Tristana,Braum,True,,,,
42,Gangplank,Gragas,Malzahar,Tristana,Taric,Gnar,Shyvana,Ryze,Kalista,Alistar,True,,,,
43,Shen,Sejuani,Ryze,Kog'Maw,Braum,Cho'Gath,Rengar,Malzahar,Ezreal,Morgana,True,,,,
44,Gangplank,Evelynn,Malzahar,Tristana,Ornn,Vladimir,Kha'Zix,Azir,Kog'Maw,Taric,True,,,,
45,Lucian,Zac,Ryze,Kog'Maw,Shen,Gangplank,Jarvan IV,Cassiopeia,Varus,Alistar,True,,,,
46,Ornn,Rengar,Malzahar,Varus,Taric,Gangplank,Sejuani,Zilean,Tristana,Braum,False,,,,
47,Maokai,Jarvan IV,Ryze,Ezreal,Alistar,Gnar,Sejuani,Azir,Varus,Braum,False,,,,
48,Malphite,Kha'Zix,Ryze,Ezreal,Braum,Camille,Jarvan IV,Malzahar,Varus,Alistar,True,,,,
49,Cho'Gath,Zac,Malzahar,Varus,Shen,Trundle,Jarvan IV,Orianna,Kog'Maw,Tahm Kench,False,,,,
50,Gnar,Jarvan IV,Ryze,Kog'Maw,Tahm Kench,Maokai,Sejuani,Azir,Xayah,Alistar,True,,,,
51,Vladimir,Jarvan IV,Syndra,Xayah,Rakan,Camille,Zac,Ryze,Tristana,Tahm Kench,False,,,,
52,Gangplank,Sejuani,Ryze,Sivir,Taric,Camille,Jarvan IV,Malzahar,Ezreal,Tahm Kench,True,,,,
53,Ornn,Sejuani,Azir,Tristana,Braum,Gnar,Shyvana,Fiddlesticks,Ezreal,Alistar,True,,,,
54,Shen,Shyvana,Corki,Varus,Trundle,Ornn,Sejuani,Malzahar,Ezreal,Alistar,False,,,,
55,Gnar,Jarvan IV,Cassiopeia,Ezreal,Braum,Gangplank,Sejuani,Azir,Tristana,Taric,True,,,,
56,Ornn,Evelynn,Azir,Tristana,Alistar,Gangplank,Jarvan IV,Kassadin,Varus,Tahm Kench,True,,,,
57,Gnar,Sejuani,Xerath,Kog'Maw,Alistar,Maokai,Xin Zhao,Malzahar,Tristana,Tahm Kench,True,,,,
58,Ornn,Jarvan IV,Orianna,Kog'Maw,Taric,Gnar,Sejuani,Malzahar,Kalista,Thresh,False,,,,
59,Gnar,Zac,Azir,Kalista,Taric,Cho'Gath,Kha'Zix,Xerath,Kog'Maw,Tahm Kench,True,,,,
60,Gnar,Jarvan IV,Malzahar,Ezreal,Braum,Gangplank,Sejuani,Zilean,Caitlyn,Janna,True,,,,
61,Gangplank,Jarvan IV,Zoe,Varus,Taric,Kled,Evelynn,Ryze,Tristana,Tahm Kench,False,,,,
62,Gnar,Zac,Azir,Ezreal,Taric,Ornn,Sejuani,Ryze,Tristana,Braum,True,,,,
63,Shen,Rengar,Malzahar,Ezreal,Braum,Gnar,Kha'Zix,Ryze,Varus,Alistar,False,,,,
64,Jayce,Kha'Zix,Ryze,Caitlyn,Braum,Gnar,Lee Sin,Azir,Varus,Janna,True,,,,
65,Gnar,Zac,Malzahar,Kog'Maw,Tahm Kench,Vladimir,Kha'Zix,Galio,Varus,Braum,True,,,,
66,Camille,Sejuani,Corki,Sivir,Braum,Gangplank,Zac,Malzahar,Varus,Alistar,True,,,,
67,Cho'Gath,Zac,Taliyah,Varus,Braum,Vladimir,Jarvan IV,Galio,Xayah,Ornn,False,,,,
68,Gnar,Kha'Zix,LeBlanc,Ezreal,Alistar,Sion,Jarvan IV,Azir,Caitlyn,Ornn,True,,,,
69,Gnar,Jarvan IV,Taliyah,Ezreal,Bard,Ornn,Sejuani,Ryze,Vayne,Braum,False,,,,
70,Jayce,Sejuani,Galio,Caitlyn,Janna,Gnar,Nidalee,Corki,Tristana,Braum,True,,,,
71,Vladimir,Jarvan IV,Azir,Kalista,Braum,Gnar,Shyvana,Ryze,Varus,Alistar,True,,,,
72,Maokai,Jax,Azir,Ezreal,Tahm Kench,Ornn,Jarvan IV,Vladimir,Kalista,Braum,True,,,,
